=== Symbol Debug Test ===
Enter Rust code (Ctrl+D to finish):
Father relationships set successfully.
Self and Self semantic checking completed successfully.
Namespace semantic checking completed successfully.

=== Symbol Debug Output ===
Node: child_idx_in_parent  | Type: IdentifierNode            | Symbol: Symbol{name='child_idx_in_parent', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(usize)   | Type: PathExprSegNode           | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: usize                | Type: IdentifierNode            | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='new_node_idx', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(new_node_idx) | Type: PathExprSegNode           | Symbol: Symbol{name='new_node_idx', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: new_node_idx         | Type: IdentifierNode            | Symbol: Symbol{name='new_node_idx', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='j', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(j)       | Type: PathExprSegNode           | Symbol: Symbol{name='j', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: j                    | Type: IdentifierNode            | Symbol: Symbol{name='j', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='pools', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(pools)   | Type: PathExprSegNode           | Symbol: Symbol{name='pools', kind=PARAMETER, scopeLevel=1}
Node: pools                | Type: IdentifierNode            | Symbol: Symbol{name='pools', kind=PARAMETER, scopeLevel=1}
Node: node_pool_num_keys   | Type: IdentifierNode            | Symbol: null
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='parent_idx', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(parent_idx) | Type: PathExprSegNode           | Symbol: Symbol{name='parent_idx', kind=PARAMETER, scopeLevel=1}
Node: parent_idx           | Type: IdentifierNode            | Symbol: Symbol{name='parent_idx', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(usize)   | Type: PathExprSegNode           | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: usize                | Type: IdentifierNode            | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='pools', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(pools)   | Type: PathExprSegNode           | Symbol: Symbol{name='pools', kind=PARAMETER, scopeLevel=1}
Node: pools                | Type: IdentifierNode            | Symbol: Symbol{name='pools', kind=PARAMETER, scopeLevel=1}
Node: node_pool_keys       | Type: IdentifierNode            | Symbol: null
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='parent_idx', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(parent_idx) | Type: PathExprSegNode           | Symbol: Symbol{name='parent_idx', kind=PARAMETER, scopeLevel=1}
Node: parent_idx           | Type: IdentifierNode            | Symbol: Symbol{name='parent_idx', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(usize)   | Type: PathExprSegNode           | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: usize                | Type: IdentifierNode            | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='j', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(j)       | Type: PathExprSegNode           | Symbol: Symbol{name='j', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: j                    | Type: IdentifierNode            | Symbol: Symbol{name='j', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(usize)   | Type: PathExprSegNode           | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: usize                | Type: IdentifierNode            | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='pools', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(pools)   | Type: PathExprSegNode           | Symbol: Symbol{name='pools', kind=PARAMETER, scopeLevel=1}
Node: pools                | Type: IdentifierNode            | Symbol: Symbol{name='pools', kind=PARAMETER, scopeLevel=1}
Node: node_pool_keys       | Type: IdentifierNode            | Symbol: null
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='parent_idx', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(parent_idx) | Type: PathExprSegNode           | Symbol: Symbol{name='parent_idx', kind=PARAMETER, scopeLevel=1}
Node: parent_idx           | Type: IdentifierNode            | Symbol: Symbol{name='parent_idx', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(usize)   | Type: PathExprSegNode           | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: usize                | Type: IdentifierNode            | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='j', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(j)       | Type: PathExprSegNode           | Symbol: Symbol{name='j', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: j                    | Type: IdentifierNode            | Symbol: Symbol{name='j', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(usize)   | Type: PathExprSegNode           | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: usize                | Type: IdentifierNode            | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='j', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(j)       | Type: PathExprSegNode           | Symbol: Symbol{name='j', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: j                    | Type: IdentifierNode            | Symbol: Symbol{name='j', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='j', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(j)       | Type: PathExprSegNode           | Symbol: Symbol{name='j', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: j                    | Type: IdentifierNode            | Symbol: Symbol{name='j', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='j', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(j)       | Type: PathExprSegNode           | Symbol: Symbol{name='j', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: j                    | Type: IdentifierNode            | Symbol: Symbol{name='j', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='child_idx_in_parent', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(child_idx_in_parent) | Type: PathExprSegNode           | Symbol: Symbol{name='child_idx_in_parent', kind=PARAMETER, scopeLevel=1}
Node: child_idx_in_parent  | Type: IdentifierNode            | Symbol: Symbol{name='child_idx_in_parent', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='pools', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(pools)   | Type: PathExprSegNode           | Symbol: Symbol{name='pools', kind=PARAMETER, scopeLevel=1}
Node: pools                | Type: IdentifierNode            | Symbol: Symbol{name='pools', kind=PARAMETER, scopeLevel=1}
Node: node_pool_keys       | Type: IdentifierNode            | Symbol: null
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='parent_idx', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(parent_idx) | Type: PathExprSegNode           | Symbol: Symbol{name='parent_idx', kind=PARAMETER, scopeLevel=1}
Node: parent_idx           | Type: IdentifierNode            | Symbol: Symbol{name='parent_idx', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(usize)   | Type: PathExprSegNode           | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: usize                | Type: IdentifierNode            | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='child_idx_in_parent', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(child_idx_in_parent) | Type: PathExprSegNode           | Symbol: Symbol{name='child_idx_in_parent', kind=PARAMETER, scopeLevel=1}
Node: child_idx_in_parent  | Type: IdentifierNode            | Symbol: Symbol{name='child_idx_in_parent', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(usize)   | Type: PathExprSegNode           | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: usize                | Type: IdentifierNode            | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='pools', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(pools)   | Type: PathExprSegNode           | Symbol: Symbol{name='pools', kind=PARAMETER, scopeLevel=1}
Node: pools                | Type: IdentifierNode            | Symbol: Symbol{name='pools', kind=PARAMETER, scopeLevel=1}
Node: node_pool_keys       | Type: IdentifierNode            | Symbol: null
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='child_idx', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(child_idx) | Type: PathExprSegNode           | Symbol: Symbol{name='child_idx', kind=PARAMETER, scopeLevel=1}
Node: child_idx            | Type: IdentifierNode            | Symbol: Symbol{name='child_idx', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(usize)   | Type: PathExprSegNode           | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: usize                | Type: IdentifierNode            | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='MIN_KEYS', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(MIN_KEYS) | Type: PathExprSegNode           | Symbol: Symbol{name='MIN_KEYS', kind=CONSTANT, scopeLevel=0}
Node: MIN_KEYS             | Type: IdentifierNode            | Symbol: Symbol{name='MIN_KEYS', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(usize)   | Type: PathExprSegNode           | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: usize                | Type: IdentifierNode            | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='pools', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(pools)   | Type: PathExprSegNode           | Symbol: Symbol{name='pools', kind=PARAMETER, scopeLevel=1}
Node: pools                | Type: IdentifierNode            | Symbol: Symbol{name='pools', kind=PARAMETER, scopeLevel=1}
Node: node_pool_num_keys   | Type: IdentifierNode            | Symbol: null
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='parent_idx', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(parent_idx) | Type: PathExprSegNode           | Symbol: Symbol{name='parent_idx', kind=PARAMETER, scopeLevel=1}
Node: parent_idx           | Type: IdentifierNode            | Symbol: Symbol{name='parent_idx', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(usize)   | Type: PathExprSegNode           | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: usize                | Type: IdentifierNode            | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='pools', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(pools)   | Type: PathExprSegNode           | Symbol: Symbol{name='pools', kind=PARAMETER, scopeLevel=1}
Node: pools                | Type: IdentifierNode            | Symbol: Symbol{name='pools', kind=PARAMETER, scopeLevel=1}
Node: node_pool_num_keys   | Type: IdentifierNode            | Symbol: null
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='parent_idx', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(parent_idx) | Type: PathExprSegNode           | Symbol: Symbol{name='parent_idx', kind=PARAMETER, scopeLevel=1}
Node: parent_idx           | Type: IdentifierNode            | Symbol: Symbol{name='parent_idx', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(usize)   | Type: PathExprSegNode           | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: usize                | Type: IdentifierNode            | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Function(insert_non_full) | Type: FunctionNode              | Symbol: Symbol{name='insert_non_full', kind=FUNCTION, scopeLevel=0}
Node: insert_non_full      | Type: IdentifierNode            | Symbol: Symbol{name='insert_non_full', kind=FUNCTION, scopeLevel=0}
Node: pools                | Type: IdentifierNode            | Symbol: Symbol{name='pools', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(Pools)   | Type: PathExprSegNode           | Symbol: Symbol{name='Pools', kind=STRUCT, scopeLevel=0}
Node: Pools                | Type: IdentifierNode            | Symbol: Symbol{name='Pools', kind=STRUCT, scopeLevel=0}
Node: node_idx             | Type: IdentifierNode            | Symbol: Symbol{name='node_idx', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: key                  | Type: IdentifierNode            | Symbol: Symbol{name='key', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='node_idx', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(node_idx) | Type: PathExprSegNode           | Symbol: Symbol{name='node_idx', kind=PARAMETER, scopeLevel=1}
Node: node_idx             | Type: IdentifierNode            | Symbol: Symbol{name='node_idx', kind=PARAMETER, scopeLevel=1}
Node: i                    | Type: IdentifierNode            | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='pools', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(pools)   | Type: PathExprSegNode           | Symbol: Symbol{name='pools', kind=PARAMETER, scopeLevel=1}
Node: pools                | Type: IdentifierNode            | Symbol: Symbol{name='pools', kind=PARAMETER, scopeLevel=1}
Node: node_pool_num_keys   | Type: IdentifierNode            | Symbol: null
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='node_idx', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(node_idx) | Type: PathExprSegNode           | Symbol: Symbol{name='node_idx', kind=PARAMETER, scopeLevel=1}
Node: node_idx             | Type: IdentifierNode            | Symbol: Symbol{name='node_idx', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(usize)   | Type: PathExprSegNode           | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: usize                | Type: IdentifierNode            | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='pools', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(pools)   | Type: PathExprSegNode           | Symbol: Symbol{name='pools', kind=PARAMETER, scopeLevel=1}
Node: pools                | Type: IdentifierNode            | Symbol: Symbol{name='pools', kind=PARAMETER, scopeLevel=1}
Node: node_pool_is_leaf    | Type: IdentifierNode            | Symbol: null
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='node_idx', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(node_idx) | Type: PathExprSegNode           | Symbol: Symbol{name='node_idx', kind=PARAMETER, scopeLevel=1}
Node: node_idx             | Type: IdentifierNode            | Symbol: Symbol{name='node_idx', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(usize)   | Type: PathExprSegNode           | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: usize                | Type: IdentifierNode            | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='pools', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(pools)   | Type: PathExprSegNode           | Symbol: Symbol{name='pools', kind=PARAMETER, scopeLevel=1}
Node: pools                | Type: IdentifierNode            | Symbol: Symbol{name='pools', kind=PARAMETER, scopeLevel=1}
Node: node_pool_keys       | Type: IdentifierNode            | Symbol: null
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='node_idx', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(node_idx) | Type: PathExprSegNode           | Symbol: Symbol{name='node_idx', kind=PARAMETER, scopeLevel=1}
Node: node_idx             | Type: IdentifierNode            | Symbol: Symbol{name='node_idx', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(usize)   | Type: PathExprSegNode           | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: usize                | Type: IdentifierNode            | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(i)       | Type: PathExprSegNode           | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: i                    | Type: IdentifierNode            | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(usize)   | Type: PathExprSegNode           | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: usize                | Type: IdentifierNode            | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='key', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(key)     | Type: PathExprSegNode           | Symbol: Symbol{name='key', kind=PARAMETER, scopeLevel=1}
Node: key                  | Type: IdentifierNode            | Symbol: Symbol{name='key', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='pools', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(pools)   | Type: PathExprSegNode           | Symbol: Symbol{name='pools', kind=PARAMETER, scopeLevel=1}
Node: pools                | Type: IdentifierNode            | Symbol: Symbol{name='pools', kind=PARAMETER, scopeLevel=1}
Node: node_pool_keys       | Type: IdentifierNode            | Symbol: null
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='node_idx', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(node_idx) | Type: PathExprSegNode           | Symbol: Symbol{name='node_idx', kind=PARAMETER, scopeLevel=1}
Node: node_idx             | Type: IdentifierNode            | Symbol: Symbol{name='node_idx', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(usize)   | Type: PathExprSegNode           | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: usize                | Type: IdentifierNode            | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(i)       | Type: PathExprSegNode           | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: i                    | Type: IdentifierNode            | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(usize)   | Type: PathExprSegNode           | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: usize                | Type: IdentifierNode            | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='pools', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(pools)   | Type: PathExprSegNode           | Symbol: Symbol{name='pools', kind=PARAMETER, scopeLevel=1}
Node: pools                | Type: IdentifierNode            | Symbol: Symbol{name='pools', kind=PARAMETER, scopeLevel=1}
Node: node_pool_keys       | Type: IdentifierNode            | Symbol: null
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='node_idx', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(node_idx) | Type: PathExprSegNode           | Symbol: Symbol{name='node_idx', kind=PARAMETER, scopeLevel=1}
Node: node_idx             | Type: IdentifierNode            | Symbol: Symbol{name='node_idx', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(usize)   | Type: PathExprSegNode           | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: usize                | Type: IdentifierNode            | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(i)       | Type: PathExprSegNode           | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: i                    | Type: IdentifierNode            | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(usize)   | Type: PathExprSegNode           | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: usize                | Type: IdentifierNode            | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(i)       | Type: PathExprSegNode           | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: i                    | Type: IdentifierNode            | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(i)       | Type: PathExprSegNode           | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: i                    | Type: IdentifierNode            | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(i)       | Type: PathExprSegNode           | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: i                    | Type: IdentifierNode            | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='pools', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(pools)   | Type: PathExprSegNode           | Symbol: Symbol{name='pools', kind=PARAMETER, scopeLevel=1}
Node: pools                | Type: IdentifierNode            | Symbol: Symbol{name='pools', kind=PARAMETER, scopeLevel=1}
Node: node_pool_keys       | Type: IdentifierNode            | Symbol: null
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='node_idx', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(node_idx) | Type: PathExprSegNode           | Symbol: Symbol{name='node_idx', kind=PARAMETER, scopeLevel=1}
Node: node_idx             | Type: IdentifierNode            | Symbol: Symbol{name='node_idx', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(usize)   | Type: PathExprSegNode           | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: usize                | Type: IdentifierNode            | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(i)       | Type: PathExprSegNode           | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: i                    | Type: IdentifierNode            | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(usize)   | Type: PathExprSegNode           | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: usize                | Type: IdentifierNode            | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='key', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(key)     | Type: PathExprSegNode           | Symbol: Symbol{name='key', kind=PARAMETER, scopeLevel=1}
Node: key                  | Type: IdentifierNode            | Symbol: Symbol{name='key', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='pools', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(pools)   | Type: PathExprSegNode           | Symbol: Symbol{name='pools', kind=PARAMETER, scopeLevel=1}
Node: pools                | Type: IdentifierNode            | Symbol: Symbol{name='pools', kind=PARAMETER, scopeLevel=1}
Node: node_pool_num_keys   | Type: IdentifierNode            | Symbol: null
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='node_idx', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(node_idx) | Type: PathExprSegNode           | Symbol: Symbol{name='node_idx', kind=PARAMETER, scopeLevel=1}
Node: node_idx             | Type: IdentifierNode            | Symbol: Symbol{name='node_idx', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(usize)   | Type: PathExprSegNode           | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: usize                | Type: IdentifierNode            | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='pools', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(pools)   | Type: PathExprSegNode           | Symbol: Symbol{name='pools', kind=PARAMETER, scopeLevel=1}
Node: pools                | Type: IdentifierNode            | Symbol: Symbol{name='pools', kind=PARAMETER, scopeLevel=1}
Node: node_pool_num_keys   | Type: IdentifierNode            | Symbol: null
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='node_idx', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(node_idx) | Type: PathExprSegNode           | Symbol: Symbol{name='node_idx', kind=PARAMETER, scopeLevel=1}
Node: node_idx             | Type: IdentifierNode            | Symbol: Symbol{name='node_idx', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(usize)   | Type: PathExprSegNode           | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: usize                | Type: IdentifierNode            | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='pools', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(pools)   | Type: PathExprSegNode           | Symbol: Symbol{name='pools', kind=PARAMETER, scopeLevel=1}
Node: pools                | Type: IdentifierNode            | Symbol: Symbol{name='pools', kind=PARAMETER, scopeLevel=1}
Node: node_pool_keys       | Type: IdentifierNode            | Symbol: null
